#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Pneumocystis carinii B80	1408658	PRJNA223511	223511	Fungi	Ascomycetes	7.66146	27.8	GCA_001477545.1	-	LFVZ01	62	3695	3646	2015/12/22	2015/12/22	Contig	Broad Institute	SAMN02380717
Schizosaccharomyces pombe	4896	PRJNA13836	13836	Fungi	Ascomycetes	12.5913	36.0381	GCA_000002945.2	chromosome I:NC_003424.3/CU329670.1; chromosome II:NC_003423.3/CU329671.1; chromosome III:NC_003421.2/CU329672.1; mitochondrion MT:NC_001326.1/X54421.1	-	4	6974	5132	2002/02/28	2018/04/05	Chromosome	S. pombe European Sequencing Consortium (EUPOM)	SAMEA3138176
Saccharomyces cerevisiae S288C	559292	PRJNA43747	43747	Fungi	Ascomycetes	12.1571	38.1556	GCA_000146045.2	chromosome I:NC_001133.9/BK006935.2; chromosome II:NC_001134.8/BK006936.2; chromosome III:NC_001135.5/BK006937.2; chromosome IV:NC_001136.10/BK006938.2; chromosome V:NC_001137.3/BK006939.2; chromosome VI:NC_001138.5/BK006940.2; chromosome VII:NC_001139.9/BK006941.2; chromosome VIII:NC_001140.6/BK006934.2; chromosome IX:NC_001141.2/BK006942.2; chromosome X:NC_001142.9/BK006943.2; chromosome XI:NC_001143.9/BK006944.2; chromosome XII:NC_001144.5/BK006945.2; chromosome XIII:NC_001145.3/BK006946.2; chromosome XIV:NC_001146.8/BK006947.3; chromosome XV:NC_001147.6/BK006948.2; chromosome XVI:NC_001148.4/BK006949.2; mitochondrion MT:NC_001224.1/	-	17	6446	6003	1999/11/08	2020/10/02	Complete Genome	Saccharomyces Genome Database	-
Aspergillus nidulans FGSC A4	227321	PRJNA130	130	Fungi	Ascomycetes	30.276	50.2721	GCA_000149205.2	mitochondrion MT:NC_017896.1/JQ435097.1	AACD01	91	9586	9556	2003/04/07	2014/08/06	Scaffold	Broad Institute	SAMN02953587
Aspergillus fumigatus Af293	330879	PRJNA131	131	Fungi	Ascomycetes	29.385	49.8105	GCA_000002655.1	chromosome 1:NC_007194.1/CM000169.1; chromosome 2:NC_007195.1/CM000170.1; chromosome 3:NC_007196.1/CM000171.1; chromosome 4:NC_007197.1/CM000172.1; chromosome 5:NC_007198.1/CM000173.1; chromosome 6:NC_007199.1/CM000174.1; chromosome 7:NC_007200.1/CM000175.1; chromosome 8:NC_007201.1/CM000176.1	AAHF01	8	19832	19260	2005/06/01	2014/08/04	Chromosome	J. Craig Venter Institute	SAMN00115746
Neurospora crassa OR74A	367110	PRJNA13841	13841	Fungi	Ascomycetes	41.1024	48.2319	GCA_000182925.2	linkage group I:NC_026501.1/CM002236.1; linkage group II:NC_026502.1/CM002237.1; linkage group III:NC_026503.1/CM002238.1; linkage group IV:NC_026504.1/CM002239.1; linkage group V:NC_026505.1/CM002240.1; linkage group VI:NC_026506.1/CM002241.1; linkage group VII:NC_026507.1/CM002242.1; mitochondrion MT:NC_026614.1/KC683708.1	AABX03	21	10590	10812	2003/03/12	2014/08/06	Chromosome	Broad Institute	SAMN02953583
Phanerochaete chrysosporium	5306	PRJNA343563	343563	Fungi	Basidiomycetes	39.2051	56.5	GCA_001910725.1	-	MJGA01	174	-	-	2016/12/20	2016/12/20	Contig	National Institute of Forest Science	SAMN05790961
Candida albicans SC5314	237561	PRJNA10701	10701	Fungi	Ascomycetes	14.2827	33.4827	GCA_000182965.3	chromosome 1:NC_032089.1/CP017623.1; chromosome 2:NC_032090.1/CP017624.1; chromosome 3:NC_032091.1/CP017625.1; chromosome 4:NC_032092.1/CP017626.1; chromosome 5:NC_032093.1/CP017627.1; chromosome 6:NC_032094.1/CP017628.1; chromosome 7:NC_032095.1/CP017629.1; chromosome R:NC_032096.1/CP017630.1	-	8	6263	6030	2016/10/12	2018/04/04	Chromosome	Stanford University	SAMN02953594
Leishmania major strain Friedlin	347515	PRJNA10724	10724	Protists	Kinetoplasts	32.8551	59.7114	GCA_000002725.2	chromosome 1:NC_001905.3/FR796397.1; chromosome 2:NC_007244.2/FR796398.1; chromosome 3:NC_004916.2/FR796399.1; chromosome 4:NC_007245.2/FR796400.1; chromosome 5:NC_007246.2/FR796401.1; chromosome 6:NC_007247.2/FR796402.1; chromosome 7:NC_007248.2/FR796403.1; chromosome 8:NC_007249.2/FR796404.1; chromosome 9:NC_007250.2/FR796405.1; chromosome 10:NC_007251.2/FR796406.1; chromosome 11:NC_007252.2/FR796407.1; chromosome 12:NC_007253.2/FR796408.1; chromosome 13:NC_007254.2/FR796409.1; chromosome 14:NC_007255.2/FR796410.1; chromosome 15:NC_007256.2/FR796411.1; chromosome 16:NC_007257.2/FR796412.1; chromosome 17:NC_007258.2/FR796413.1; chromosome 18:NC_007259.2/FR796414.1; chromosome 19:NC_007260.2/FR796415.1; chromosome 20:NC_007261.2/FR796416.1; chromosome 21:NC_007262.2/FR796417.1; chromosome 22:NC_007263.2/FR796418.1; chromosome 23:NC_007264.2/FR796419.1; chromosome 24:NC_007265.2/FR796420.1; chromosome 25:NC_007266.2/FR796421.1; chromosome 26:NC_007267.2/FR796422.1; chromosome 27:NC_007268.2/FR796423.1; chromosome 28:NC_007269.2/FR796424.1; chromosome 29:NC_007270.2/FR796425.1; chromosome 30:NC_007271.2/FR796426.1; chromosome 31:NC_007272.2/FR796427.1; chromosome 32:NC_007273.2/FR796428.1; chromosome 33:NC_007285.2/FR796429.1; chromosome 34:NC_007286.2/FR796430.1; chromosome 35:NC_007284.2/FR796431.1; chromosome 36:NC_007287.2/FR796432.1	-	36	9388	8316	1998/06/29	2017/06/16	Complete Genome	Friedlin Consortium	SAMEA3138173
Trypanosoma brucei brucei TREU927	185431	PRJNA11756	11756	Protists	Kinetoplasts	26.0755	46.4407	GCA_000002445.1	chromosome 1:NC_008409.1/AL929603.2; chromosome 2:NC_005063.2/AE017150.2; chromosome 3:NC_007276.1/CP000066.1; chromosome 4:NC_007277.1/CP000067.1; chromosome 5:NC_007278.1/CP000068.1; chromosome 6:NC_007279.1/CP000069.1; chromosome 7:NC_007280.1/CP000070.1; chromosome 8:NC_007281.1/CP000071.1; chromosome 9:NC_007282.1/CM000207.1; chromosome 10:NC_007283.1/CM000208.1	-	12	10221	8758	2002/10/07	2018/04/11	Chromosome	Trypanosoma brucei consortium	SAMN02953625
Trypanosoma cruzi strain CL Brener	353153	PRJNA11755	11755	Protists	Kinetoplasts	89.9375	51.7	GCA_000209065.1	-	AAHK01	29495	25100	19607	2005/07/14	2014/08/06	Scaffold	Trypanosoma cruzi consortium	SAMN02953627
Giardia intestinalis	5741	PRJNA1439	1439	Protists	Other Protists	12.0782	49.7345	GCA_000002435.2	chromosome 1:NC_051856.1/CM018789.1; chromosome 2:NC_051857.1/CM018790.1; chromosome 3:NC_051858.1/CM018791.1; chromosome 4:NC_051859.1/CM018792.1; chromosome 5:NC_051860.1/CM018793.1	AACB03	35	5306	4965	2003/03/26	2019/11/06	Chromosome	Marine Biological Laboratory	SAMN02952905
Entamoeba histolytica HM-1:IMSS	294381	PRJNA142	142	Protists	Other Protists	20.8354	24.3	GCA_000208925.2	-	AAFB02	1529	8321	8163	2004/12/09	2014/08/06	Scaffold	J. Craig Venter Institute (TIGR)	SAMN02953605
Eimeria tenella	5802	PRJEB4863	224694	Protists	Apicomplexans	51.8944	51.0796	GCA_000499545.1	apicoplast Pltd:NC_004823.1/	CBUW01	4665	8683	8609	2013/10/30	2015/01/30	Scaffold	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA3138819
Cryptosporidium parvum Iowa II	353152	PRJNA144	144	Protists	Apicomplexans	9.10232	30.2256	GCA_000165345.1	chromosome 1:NC_006980.1/CM000429.1; chromosome 2:NC_006981.1/CM000430.1; chromosome 3:NC_006982.1/CM000431.1; chromosome 4:NC_006983.1/CM000432.1; chromosome 5:NC_006984.1/CM000433.1; chromosome 6:NC_006985.1/CM000434.1; chromosome 7:NC_006986.1/CM000435.1; chromosome 8:NC_006987.1/CM000436.1	AAEE01	8	7774	7610	2004/04/05	2009/11/11	Chromosome	Univ. Minnesota	SAMN02952908
Toxoplasma gondii ME49	508771	PRJNA28893	28893	Protists	Apicomplexans	65.6681	52.2873	GCA_000006565.2	chromosome Ia:NC_031467.1/CM002034.1; chromosome Ib:NC_031468.1/CM002035.1; chromosome II:NC_031469.1/CM002036.1; chromosome III:NC_031470.1/CM002037.1; chromosome IV:NC_031471.1/CM002038.1; chromosome V:NC_031472.1/CM002039.1; chromosome VI:NC_031473.1/CM002040.1; chromosome VIIa:NC_031474.1/CM002041.1; chromosome VIIb:NC_031475.1/CM002042.1; chromosome VIII:NC_031476.1/CM002043.1; chromosome IX:NC_031477.1/CM002044.1; chromosome X:NC_031478.1/CM002045.1; chromosome XI:NC_031479.1/CM002046.1; chromosome XII:NC_031480.1/CM002047.1; apicoplast Pltd:NC_001799.1/	ABPA02	2277	8925	8318	2008/05/20	2013/11/01	Chromosome	J. Craig Venter Institute	SAMN00255192
Plasmodium berghei ANKA	5823	PRJEB5710	256943	Protists	Apicomplexans	18.7806	22.0454	GCA_900002375.2	chromosome 1:NC_036159.2/LK023116.2; chromosome MIT:LK023131.1; chromosome 2:NC_036160.2/LK023117.2; chromosome API:LK023130.2; chromosome 3:NC_036161.2/LK023118.2; chromosome 4:NC_036162.2/LK023119.2; chromosome 5:NC_036163.2/LK023120.2; chromosome 6:NC_036164.2/LK023121.2; chromosome 7:NC_036165.2/LK023122.2; chromosome 8:NC_036166.2/LK023123.2; chromosome 9:NC_036167.2/LK023124.2; chromosome 10:NC_036168.2/LK023125.2; chromosome 11:NC_036169.2/LK023126.2; chromosome 12:NC_036170.2/LK023127.2; chromosome 13:NC_036171.2/LK023128.2; chromosome 14:NC_036172.2/LK023129.2; mitochondrion MT:NC_015303.1/	CABFNT01	21	5260	4954	2014/08/27	2019/06/11	Chromosome	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA736069
Plasmodium chabaudi chabaudi	31271	PRJNA317457	317457	Protists	Apicomplexans	18.8678	23.6106	GCA_900002335.1	chromosome 1:NC_030101.1/LK022878.1; chromosome 2:NC_030102.1/LK022879.1; chromosome 3:NC_030103.1/LK022880.1; chromosome 4:NC_030104.1/LK022881.1; chromosome 5:NC_030105.1/LK022882.1; chromosome 6:NC_030106.1/LK022883.1; chromosome 7:NC_030107.1/LK022884.1; chromosome 8:NC_030108.1/LK022885.1; chromosome 9:NC_030109.1/LK022886.1; chromosome 10:NC_030110.1/LK022887.1; chromosome 11:NC_030111.1/LK022888.1; chromosome 12:NC_030112.1/LK022889.1; chromosome 13:NC_030113.1/LK022890.1; chromosome 14:NC_030114.1/LK022891.1; mitochondrion MIT:NW_015971901.1/LK022893.1; apicoplast Pltd:NC_023293.1/	-	39	5314	5158	2014/08/27	2016/05/13	Chromosome	NCBI	SAMEA768774
Plasmodium falciparum 3D7	36329	PRJNA13173	13173	Protists	Apicomplexans	23.3328	19.3346	GCA_000002765.3	chromosome 1:NC_004325.2/AL844501.2; chromosome API:LR605956.1; chromosome MIT:LR605957.1; chromosome 2:NC_037280.1/LN999943.1; chromosome 3:NC_000521.4/AL844502.2; chromosome 4:NC_004318.2/AL844503.2; chromosome 5:NC_004326.2/AL844504.2; chromosome 6:NC_004327.3/AL844505.2; chromosome 7:NC_004328.3/AL844506.3; chromosome 8:NC_004329.3/AL844507.3; chromosome 9:NC_004330.2/AL844508.2; chromosome 10:NC_037281.1/LN999944.1; chromosome 11:NC_037282.1/LN999945.1; chromosome 12:NC_037284.1/LN999947.1; chromosome 13:NC_004331.3/AL844509.3; chromosome 14:NC_037283.1/LN999946.1	-	15	5725	5387	1998/12/17	2019/10/14	Complete Genome	Plasmodium falciparum Genome Sequencing Consortium	SAMN00102897
Plasmodium knowlesi strain H	5851	PRJEA28803	28803	Protists	Apicomplexans	24.396	38.6216	GCA_000006355.3	chromosome 1:NC_011902.2/AM910983.2; chromosome 2:NC_011903.2/AM910984.2; chromosome 3:NC_011904.2/AM910985.2; chromosome 4:NC_011905.2/AM910986.2; chromosome 5:NC_011906.2/AM910987.2; chromosome 6:NC_011907.2/AM910988.3; chromosome 7:NC_011908.2/AM910989.2; chromosome 8:NC_011909.2/AM910990.2; chromosome 9:NC_011910.2/AM910991.2; chromosome 10:NC_011911.2/AM910992.2; chromosome 11:NC_011912.2/AM910993.2; chromosome 12:NC_011913.2/AM910994.2; chromosome 13:NC_011914.2/AM910995.2; chromosome 14:NC_011915.2/AM910996.3; apicoplast API:NC_051845.1/LR761315.1; mitochondrion MIT:LR761316.1; mitochondrion MT:NC_007232.1/	CADCXE01	164	5501	5328	2008/07/04	2020/02/20	Chromosome	Wellcome Trust Sanger Institute	SAMEA2272753
Plasmodium vivax	5855	PRJNA150	150	Protists	Apicomplexans	27.0137	42.2825	GCA_000002415.2	chromosome 1:NC_009906.1/CM000442.1; chromosome 2:NC_009907.1/CM000443.1; chromosome 3:NC_009908.2/CM000444.2; chromosome 4:NC_009909.1/CM000445.1; chromosome 5:NC_009910.1/CM000446.1; chromosome 6:NC_009911.1/CM000447.1; chromosome 7:NC_009912.1/CM000448.1; chromosome 8:NC_009913.1/CM000449.1; chromosome 9:NC_009914.1/CM000450.1; chromosome 10:NC_009915.1/CM000451.1; chromosome 11:NC_009916.1/CM000452.1; chromosome 12:NC_009917.1/CM000453.1; chromosome 13:NC_009918.1/CM000454.1; chromosome 14:NC_009919.1/CM000455.1; mitochondrion MT:NC_007243.1/	AAKM01	2748	5482	5392	2005/09/20	2014/08/06	Chromosome	TIGR	SAMN02953638
Babesia bovis T2Bo	484906	PRJNA18731	18731	Protists	Apicomplexans	8.17971	41.6127	GCA_000165395.1	chromosome 2:NC_010574.1/AAXT01000003.1; chromosome 3:NC_010575.1/AAXT01000001.1; mitochondrion MT:NC_009902.1/EU075182.1; apicoplast API:NC_011395.1/AAXT01000007.1	AAXT01	14	3781	3706	2007/08/06	2010/03/10	Chromosome	The J. Craig Venter Institute	SAMN02953679
Theileria annulata	5874	PRJNA153	153	Protists	Apicomplexans	8.35812	32.5492	GCA_000003225.1	chromosome 1:NC_011129.2/CR940347.1; chromosome 2:NC_011099.1/CR940348.1; chromosome 3:NC_011100.1/CR940352.2; chromosome 4:NC_011098.1/CR940353.1	-	8	3796	3795	2005/05/15	2021/02/01	Chromosome	The Sanger Institute	SAMEA3138180
Theileria parva strain Muguga	333668	PRJNA16138	16138	Protists	Apicomplexans	8.34761	34.0411	GCA_000165365.1	chromosome 1:NC_007344.1/AAGK01000001.1; chromosome 2:NC_007345.1/AAGK01000002.1; apicoplast Pltd:NC_007758.1/AAGK01000009.1	AAGK01	9	4141	4061	2005/06/30	2020/06/11	Chromosome	TIGR	SAMN02953620
Encephalitozoon cuniculi GB-M1	284813	PRJNA13833	13833	Fungi	Other Fungi	2.49752	47.3005	GCA_000091225.1	chromosome I:NC_003242.2/AL391737.2; chromosome II:NC_003229.1/AL590442.1; chromosome III:NC_003230.1/AL590443.1; chromosome IV:NC_003231.1/AL590444.1; chromosome V:NC_003232.1/AL590445.1; chromosome VI:NC_003233.1/AL590446.1; chromosome VII:NC_003234.1/AL590447.1; chromosome VIII:NC_003235.1/AL590448.1; chromosome IX:NC_003238.2/AL590451.2; chromosome X:NC_003236.1/AL590449.1; chromosome XI:NC_003237.1/AL590450.1	-	11	2029	1996	2001/02/05	2015/02/27	Chromosome	Genoscope	SAMEA3138295
Caenorhabditis briggsae	6238	PRJNA10731	10731	Animals	Roundworms	108.479	37.6868	GCA_000004555.1	chromosome I:NC_013489.1/CU538964.1; chromosome II:NC_013486.1/CU538965.1; chromosome III:NC_013490.1/CU538966.1; chromosome IV:NC_013487.1/CU538967.1; chromosome V:NC_013488.1/CU538968.1; chromosome X:NC_013491.1/CU538969.1	CAAC02	12	19471	19404	2002/08/22	2012/10/10	Chromosome	The C.briggsae Sequencing Consortium	-
Caenorhabditis elegans	6239	PRJNA13758	13758	Animals	Roundworms	100.286	35.4317	GCA_000002985.3	chromosome I:NC_003279.8/BX284601.5; chromosome II:NC_003280.10/BX284602.5; chromosome III:NC_003281.10/BX284603.4; chromosome IV:NC_003282.8/BX284604.4; chromosome V:NC_003283.11/BX284605.5; chromosome X:NC_003284.9/BX284606.5; mitochondrion MT:NC_001328.1/	-	7	46902	28389	2001/12/03	2021/02/02	Complete Genome	C. elegans Sequencing Consortium	SAMEA3138177
Brugia malayi	6279	PRJNA10729	10729	Animals	Roundworms	93.6591	31.499	GCA_000002995.2	mitochondrion MT:NC_004298.1/	AAQA01	24286	11451	11472	2002/09/25	2010/02/01	Scaffold	WormBase group, EBI	SAMN02953652
Aedes aegypti	7159	PRJNA392114	392114	Animals	Insects	1278.73	38.1667	GCA_002204515.1	chromosome 1:NC_035107.1/CM008043.1; chromosome 2:NC_035108.1/CM008044.1; chromosome 3:NC_035109.1/CM008045.1; mitochondrion MT:NC_035159.1/MF194022.1	NIGP01	2310	19623	28317	2017/06/15	2017/06/23	Chromosome	NCBI	SAMN07177802
Aedes albopictus	7160	PRJNA552090	552090	Animals	Insects	2538.39	40.3999	GCA_006496715.1	mitochondrion MT:NC_006817.1/	SWKY01	2197	40494	40086	2019/06/28	2019/06/28	Scaffold	NCBI	SAMN11317331
Anopheles gambiae str. PEST	180454	PRJNA1438	1438	Animals	Insects	265.027	44.5151	GCA_000005575.1	chromosome X:NC_004818.2/CM000360.1; chromosome 2R:NT_078266.2/CM000357.1; chromosome 3R:NT_078268.4/CM000359.1; chromosome 2L:NT_078265.2/CM000356.1; chromosome 3L:NT_078267.5/CM000358.1; mitochondrion MT:NC_002084.1/	AAAB01	8145	13247	14102	2002/03/22	2014/08/05	Chromosome	The International Consortium for the Sequencing of Anopheles Genome	SAMN02952903
Drosophila melanogaster	7227	PRJNA13669	13669	Animals	Insects	143.726	42.0803	GCA_000001215.4	chromosome X:NC_004354.4/AE014298.5; chromosome 2L:NT_033779.5/AE014134.6; chromosome 2R:NT_033778.4/AE013599.5; chromosome 3L:NT_037436.4/AE014296.5; chromosome 3R:NT_033777.3/AE014297.3; chromosome 4:NC_004353.4/AE014135.4; chromosome Y:NC_024512.1/CP007106.1; mitochondrion MT:NC_024511.2/KJ947872.2	-	1870	17864	30717	2002/04/30	2020/04/22	Chromosome	Department of Biochemistry, Michigan State University	SAMN02803731
Apis mellifera	7460	PRJNA477511	477511	Animals	Insects	225.251	32.6352	GCA_003254395.2	linkage group LG1:NC_037638.1/CM009931.2; linkage group LG2:NC_037639.1/CM009932.2; linkage group LG3:NC_037640.1/CM009933.2; linkage group LG4:NC_037641.1/CM009934.2; linkage group LG5:NC_037642.1/CM009935.2; linkage group LG6:NC_037643.1/CM009936.2; linkage group LG7:NC_037644.1/CM009937.2; linkage group LG8:NC_037645.1/CM009938.2; linkage group LG9:NC_037646.1/CM009939.2; linkage group LG10:NC_037647.1/CM009940.2; linkage group LG11:NC_037648.1/CM009941.2; linkage group LG12:NC_037649.1/CM009942.2; linkage group LG13:NC_037650.1/CM009943.2; linkage group LG14:NC_037651.1/CM009944.2; linkage group LG15:NC_037652.1/CM009945.2; linkage group LG16:NC_037653.1/CM009946.2; mitochondrion MT:NC_001566.1/CM009947.2	QIUM02	177	12374	23471	2018/06/19	2019/09/11	Chromosome	NCBI	SAMN09259743
Ciona intestinalis	7719	PRJDA65419	65419	Animals	Other Animals	115.227	36.0239	GCA_000224145.2	chromosome 1:NC_020166.2/HT000001.2; chromosome 2:NC_020167.2/HT000007.2; chromosome 3:NC_020168.2/HT000008.2; chromosome 4:NC_020169.2/HT000009.2; chromosome 5:NC_020170.2/HT000010.2; chromosome 6:NC_020171.2/HT000011.2; chromosome 7:NC_020172.2/HT000012.2; chromosome 8:NC_020173.2/HT000013.2; chromosome 9:NC_020174.2/HT000014.2; chromosome 10:NC_020175.2/HT000002.2; chromosome 11:NC_020176.2/HT000003.2; chromosome 12:NC_020177.2/HT000004.2; chromosome 13:NC_020178.2/HT000005.2; chromosome 14:NC_020179.2/HT000006.2; mitochondrion MT:NC_017929.1/HT000188.1	EAAA01	1280	16366	21099	2011/04/27	2014/11/13	Chromosome	Organization: Department of Zoology, Graduate School of	-
