#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Kb)	GC%	Host	Segmemts	Genes	Proteins	Release Date	Modify Date	Status
Aedes flavivirus	390845		0	Other	Flaviviridae	11.064	50.1	invertebrates	 Unknown:NC_012932.1/AB488408.1	1	2	2009/07/08	2019/05/24	Complete Genome
Okra leaf curl virus	163654		0	Other	Geminiviridae	2.386	43.3	land plants	 DNA A:NC_013017.1/FM164726.1	6	6	2009/06/02	2018/08/13	Complete Genome
Sunn hemp leaf distortion virus	579113		0	Other	Geminiviridae	2.774	42.9	land plants	 DNA A:NC_013019.1/FJ455449.1	6	2	2009/02/09	2018/08/13	Complete Genome
Ipomoea yellow vein virus	653358		0	Other	Geminiviridae	2.791	44.3	land plants	 DNA A:NC_013022.2/EU839576.2	6	6	2009/06/13	2018/08/13	Complete Genome
Human papillomavirus 116	915428		0	Other	Papillomaviridae	7.184	38.5	human	NC_013035.1/FJ804072.1	7	7	2009/07/28	2018/08/13	Complete Genome
Anatid alphaherpesvirus 1	104388		0	Other	Herpesviridae	160.649	44.9	vertebrates	JF999965.1	77	77	2011/09/06	2011/09/06	Complete Genome
Hamiltonella virus APSE1	67571		0	Other	Podoviridae	36.524	43.9	bacteria	 Unknown:NC_000935.1/AF157835.1	54	54	1999/10/26	2020/12/20	Complete Genome
Halorubrum phage HF2	33771		0	Other	Myoviridae	77.672	55.8	-	 Unknown:NC_003345.2/AF222060.2	132	126	2001/12/31	2020/12/20	Complete Genome
Halovirus HF1	222645		0	Other	Myoviridae	75.898	55.8	-	 Unknown:NC_004927.2/AY190604.2	131	125	2003/06/30	2020/12/20	Complete Genome
Strawberry mottle virus	167161		0	Other	Secoviridae	12.655	45.5772	land plants	 RNA 1:NC_003445.1/AJ311875.1;  RNA 2:NC_003446.1/AJ311876.1	2	2	2002/01/08	2018/08/13	Complete Genome
Botrytis virus X	174142		0	Other	Alphaflexiviridae	6.966	54.6	fungi	 Unknown:NC_005132.1/AY055762.1	5	5	2003/10/01	2018/08/13	Complete Genome
Chalara elegans RNA Virus 1	267285		0	Other	Totiviridae	5.31	52.6	fungi	 Unknown:NC_005883.1/AY561500.1	2	2	2004/03/23	2018/08/13	Complete Genome
Strawberry latent ringspot virus	28351		0	Other	Secoviridae	11.338	45.5149	land plants	 RNA 1:NC_006964.1/AY860978.1;  RNA 2:NC_006965.1/AY860979.1	2	2	2005/01/29	2018/08/13	Complete Genome
Burkholderia phage KS9	335797		0	Other	Siphoviridae	39.896	60.7	bacteria	 Unknown:NC_013055.1/FJ982340.1	50	50	2009/08/03	2020/12/20	Complete Genome
Morogoro mammarenavirus	573900		0	Other	Arenaviridae	10.59	43.05	vertebrates	 S:NC_013057.1/EU914103.1;  L:NC_013058.1/EU914104.1	4	4	2009/07/31	2018/08/13	Complete Genome
Salmonella phage g341c	590739		0	Other	Podoviridae	40.975	47.4	bacteria	 Unknown:NC_013059.1/FJ000341.1	68	68	2009/08/01	2020/12/20	Complete Genome
Astrovirus VA1	645687		0	Other	Astroviridae	6.586	41.9	human,vertebrates	 Unknown:NC_013060.1/FJ973620.1	3	3	2009/08/04	2018/08/13	Complete Genome
Faba bean necrotic stunt virus	283824		0	Other	Nanoviridae	7.907	38.9521	land plants	 DNA R:NC_013094.1/GQ150778.1;  DNA S:NC_013095.1/GQ150779.1;  DNA C:NC_013096.1/GQ150780.1;  DNA M:NC_013097.1/GQ150781.1;  DNA N:NC_013098.1/GQ150782.1;  DNA U1:NC_013099.1/GQ150783.1;  DNA U2:NC_013100.1/GQ150784.1;  DNA U4:NC_013101.1/GQ150785.1	8	8	2009/08/08	2018/08/13	Complete Genome
Stretch Lagoon orbivirus	559180		0	Other	Reoviridae	6.725	42.9116	invertebrates	 1:NC_012754.1/EU718676.1;  2:NC_012755.1/EU718677.1	2	2	2009/05/26	2018/08/13	Chromosome
Primula malacoides virus China/Mar2007	479713		0	Other	Partitiviridae	4.734	40.9864	land plants	 RNA 1:NC_013109.1/EU195326.1;  RNA 2:NC_013110.1/EU195327.1	2	2	2007/11/04	2018/08/13	Complete Genome
Cassava virus C	561576		0	Other	Botourmiaviridae	4.835	50.7801	land plants	 RNA 1:NC_013111.1/FJ157981.1;  RNA 2:NC_013112.1/FJ157982.1;  RNA 3:NC_013113.1/FJ157983.1	3	3	2008/09/24	2018/08/13	Complete Genome
Tomato leaf curl Hainan virus	664980		0	Other	Geminiviridae	2.756	43.9	land plants	 DNA A:KF150142.1	6	6	2013/09/21	2013/09/21	Complete Genome
Sclerotinia sclerotiorum hypovirulence associated DNA virus 1	664785		0	Other	Genomoviridae	2.166	47.2	fungi	 Unknown:NC_013116.1/GQ365709.1	2	2	2009/08/17	2018/08/13	Complete Genome
Francolinus leucoscepus papillomavirus 1	485362		0	Other	Papillomaviridae	7.498	52.9	-	 Unknown:NC_013117.1/EU188799.1	8	8	2009/08/17	2018/08/13	Complete Genome
Japanese holly fern mottle virus	659660		0	Other	Mayoviridae	3.006	50.3	land plants	 RNA2:FJ907329.1	-	3	2009/08/20	2009/08/20	Complete Genome
Drosophila melanogaster sigmavirus AP30	666363		0	Other	Rhabdoviridae	12.39	45.1	invertebrates	 Unknown:NC_013135.1/AM689309.3	16	6	2007/09/17	2018/08/17	Complete Genome
Staphylococcus phage P954	668618		0	Other	Siphoviridae	40.761	34	bacteria	 Unknown:NC_013195.1/GQ398772.1	69	69	2009/09/01	2020/12/20	Complete Genome
Rattus norvegicus papillomavirus 1	664730		0	Other	Papillomaviridae	7.378	46.6	vertebrates	GQ180114.1	7	6	2009/08/31	2009/10/21	Complete Genome
Turnip ringspot virus	392504		0	Other	Secoviridae	10.067	41.4625	land plants	 RNA 1:NC_013218.1/FJ712026.1;  RNA 2:NC_013219.1/FJ712027.1	2	2	2009/09/07	2018/08/13	Complete Genome
Canis familiaris papillomavirus 6	1513269		0	Other	Papillomaviridae	8.242	40.2	vertebrates	 Unknown:NC_013237.1/FJ492744.1	7	7	2009/09/14	2018/08/13	Complete Genome
Tomato infectious chlorosis virus	52135		0	Other	Closteroviridae	16.184	37.0777	land plants	 RNA 1:NC_013258.1/FJ815440.1;  RNA 2:NC_013259.1/FJ815441.1	11	11	2009/07/31	2018/08/13	Complete Genome
Canna yellow streak virus	433462		0	Other	Potyviridae	9.502	41.4	land plants	 Unknown:NC_013261.1/	2	2	2009/09/23	2018/08/13	Complete Genome
Pelargonium vein banding virus	671126		0	Other	Caulimoviridae	7.586	48.6	land plants	 Unknown:NC_013262.1/GQ428155.1	3	3	2009/09/20	2018/08/13	Complete Genome
Vibrio phage henriette 12B8	573174	PRJNA40641	40641	Other	Myoviridae	107.218	41	bacteria	 Unknown:NC_021073.1/HQ316582.1	156	154	2013/03/11	2020/12/20	Complete Genome
Melandrium yellow fleck virus	545259		0	Other	Bromoviridae	8.535	41.7441	land plants	 RNA 1:AB444583.1;  RNA1:NC_013266.1/;  RNA 2:AB444584.1;  RNA2:NC_013267.1/;  RNA 3:AB444585.1;  RNA3:NC_013268.1/	8	8	2009/09/26	2020/05/28	Complete Genome
Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)	449133		0	Other	Reoviridae	19.405	42.1526	invertebrates,vertebrates	 1:NC_013396.1/AM744977.1;  2:NC_013397.1/AM744978.1;  3:NC_013398.1/AM744979.1;  4:NC_013399.1/AM744980.1;  5:NC_013400.1/AM744981.1;  6:NC_013401.1/AM744982.1;  7:NC_013402.1/AM744983.1;  8:NC_013403.1/AM744984.1;  9:NC_013404.1/AM744985.1;  10:NC_013405.1/AM744986.1	10	10	2009/09/29	2018/08/13	Complete Genome
Tomato leaf curl Sulawesi virus	634441		0	Other	Geminiviridae	2.751	41.3	land plants	 DNA A:NC_013413.1/FJ237617.1	6	6	2009/09/30	2018/08/13	Complete Genome
Velvet bean severe mosaic virus	667119		0	Other	Geminiviridae	5.39	40.2789	land plants	 DNA A:NC_013414.1/FN543425.1;  DNA B:NC_013415.1/FN543426.1	9	9	2009/10/06	2018/08/13	Complete Genome
HMO Astrovirus A	682382		0	Other	Astroviridae	6.534	43.5	human	 Unknown:NC_013443.1/GQ415660.1	3	3	2009/10/24	2018/08/13	Complete Genome
Barfin flounder nervous necrosis virus	43761		0	Other	Nodaviridae	4.534	53.4155	vertebrates	 RNA 1:NC_013458.1/EU236146.1;  RNA 2:NC_013459.1/EU236147.1	3	3	2009/11/01	2018/08/13	Complete Genome
Tiger puffer nervous necrosis virus	43764		0	Other	Nodaviridae	4.534	52.5686	-	 RNA 1:NC_013460.1/EU236148.1;  RNA 2:NC_013461.1/EU236149.1	3	3	2009/11/01	2018/08/13	Complete Genome
Saccharum streak virus	683179		0	Other	Geminiviridae	2.744	53.5	land plants	 Unknown:NC_013464.1/GQ273988.1	3	3	2009/10/31	2018/08/13	Complete Genome
Fort Morgan virus	48544		0	Other	Togaviridae	11.381	48.6	invertebrates,vertebrates	 Unknown:NC_013528.1/GQ281603.1	3	3	2009/11/24	2018/08/13	Complete Genome
Vibrio phage SIO-2	700512	PRJNA42177	42177	Other	Siphoviridae	81.184	45	bacteria	 Unknown:NC_016567.1/HQ316604.1	116	115	2011/11/19	2020/12/20	Complete Genome
Synechococcus phage S-SSM4	536466	PRJNA42181	42181	Other	Myoviridae	182.801	39.4	bacteria	 Unknown:NC_020875.1/HQ316583.1	223	220	2013/03/10	2020/12/20	Complete Genome
Cyanophage SS120-1	616674	PRJNA42183	42183	Other	Autographiviridae	46.997	40.5	bacteria	 Unknown:NC_020872.1/HQ316584.1	53	52	2013/03/10	2020/12/20	Complete Genome
Acidianus spindle-shaped virus 1	693629		0	Other	Fuselloviridae	24.186	37.7	archaea	 Unknown:NC_013585.1/FJ870917.1	38	38	2009/11/25	2020/12/20	Complete Genome
Sulfolobus spindle-shaped virus 6	693627		0	Other	Fuselloviridae	15.684	38.2	archaea	 Unknown:NC_013587.1/FJ870915.1	33	33	2009/11/25	2020/12/20	Complete Genome
Sulfolobus spindle-shaped virus 7	693628		0	Other	Fuselloviridae	17.602	39	archaea	 Unknown:NC_013588.1/FJ870916.1	33	33	2009/11/25	2020/12/20	Complete Genome
Felid alphaherpesvirus 1	10334		0	Other	Herpesviridae	135.797	45.8	vertebrates	 Unknown:NC_013590.2/FJ478159.2	77	77	2009/11/30	2019/06/04	Complete Genome
Cotton leaf curl Gezira alphasatellite	679536		0	Other	Alphasatellitidae	1.367	40.5	land plants	HG530543.1	1	1	2014/04/03	2014/04/03	Complete Genome
Sweet potato leaf curl Canary virus	652718		0	Other	Geminiviridae	2.807	44.6	land plants	 DNA A:NC_013465.1/FJ529203.1	6	6	2009/06/17	2018/08/13	Complete Genome
Sweet potato leaf curl Lanzarote virus	574890		0	Other	Geminiviridae	2.814	45	land plants	 DNA A:NC_013467.1/EU839579.2	6	6	2009/06/13	2018/08/13	Complete Genome
Drosophila melanogaster totivirus SW-2009a	663282		0	Other	Totiviridae	6.78	42.3	invertebrates	 Unknown:NC_013499.1/GQ342961.1	2	2	2009/11/08	2018/08/13	Complete Genome
Butterbur mosaic virus	666859		0	Other	Betaflexiviridae	8.662	44.5	-	 Unknown:NC_013527.1/AB517596.1	6	6	2009/11/20	2018/08/13	Complete Genome
Escherichia phage D108	665033		0	Other	Myoviridae	37.235	51.8	bacteria	 Unknown:NC_013594.1/GQ357916.1	57	57	2009/09/15	2020/12/20	Complete Genome
Streptococcus virus ALQ132	682370		0	Other	Siphoviridae	35.525	39.4	bacteria	 Unknown:NC_013598.1/FJ226752.1	44	44	2009/10/06	2020/12/20	Complete Genome
Xylella phage Xfas53	670252		0	Other	Podoviridae	36.674	56.8	bacteria	 Unknown:NC_013599.1/GQ421471.1	45	45	2009/09/07	2020/12/20	Complete Genome
Sodalis phage SO1	673375		0	Other	Siphoviridae	45.169	54.6	bacteria	 Unknown:NC_013600.1/GQ502199.1	59	59	2009/09/22	2020/12/20	Complete Genome
Pseudomonas phage phi-2	693582		0	Other	Autographiviridae	43.144	58.9	bacteria	 Unknown:NC_013638.1/FN594518.1	43	43	2009/12/10	2020/12/20	Complete Genome
Tomato leaf curl Cameroon virus	693894		0	Other	Geminiviridae	2.808	42.2	land plants	 DNA A:NC_013639.1/FM210278.1	7	9	2009/03/09	2018/08/13	Complete Genome
Sweet potato leaf curl Bengal virus	693892		0	Other	Geminiviridae	2.823	44.5	land plants	 DNA A:NC_013640.2/FN432356.2	6	6	2009/09/17	2018/08/13	Complete Genome
Tomato yellow leaf curl Thailand betasatellite	693897		0	Other	Tolecusatellitidae	1.337	37.3	land plants	 Unknown:NC_004903.1/AJ566746.1	1	1	2003/06/17	2018/08/13	Complete Genome
Klebsiella phage KP32	674082		0	Other	Autographiviridae	41.119	52.4	bacteria	 Unknown:NC_013647.1/GQ413937.1	44	44	2009/11/10	2020/12/20	Complete Genome
Klebsiella phage KP34	674081		0	Other	Autographiviridae	43.809	54.1	bacteria	 Unknown:NC_013649.2/GQ413938.2	57	57	2009/11/10	2020/12/20	Complete Genome
Mycobacterium phage ET08	663554		0	Other	Myoviridae	155.445	64.6	bacteria	 Unknown:NC_013650.1/GQ303260.1	253	218	2009/09/10	2021/01/02	Complete Genome
Vibrio phage N4	644563		0	Other	Autographiviridae	38.497	42.8	bacteria	NC_013651.1/FJ409640.1	47	47	2009/10/31	2020/12/20	Complete Genome
Enterococcus phage phiFL3A	673837		0	Other	Siphoviridae	39.576	34.5	bacteria	 Unknown:NC_013648.1/GQ478086.1	64	64	2009/12/08	2020/12/20	Complete Genome
Enterococcus phage phiFL1A	673832		0	Other	Siphoviridae	38.764	34	bacteria	 Unknown:NC_013646.1/GQ478081.1	61	61	2009/12/08	2020/12/20	Complete Genome
Streptococcus virus phiAbc2	633135		0	Other	Siphoviridae	34.882	39	bacteria	 Unknown:NC_013645.1/FJ236310.1	48	48	2009/10/06	2020/12/20	Complete Genome
Enterococcus phage phiFL4A	673839		0	Other	Siphoviridae	37.856	37.8	bacteria	 Unknown:NC_013644.1/GQ478088.1	55	55	2009/12/08	2020/12/20	Complete Genome
Enterococcus phage phiFL2A	673835		0	Other	Siphoviridae	36.27	34.6	bacteria	 Unknown:NC_013643.1/GQ478084.1	63	63	2009/12/08	2020/12/20	Complete Genome
Anguillid herpesvirus 1	150286		0	Other	Alloherpesviridae	248.526	53	vertebrates	 Unknown:NC_013668.3/FJ940765.3	133	134	2009/12/21	2018/08/13	Complete Genome
Shigella phage Ag3	637730		0	Other	Ackermannviridae	158.006	50.4	bacteria	 Unknown:NC_013693.1/FJ373894.1	220	216	2009/09/23	2020/12/20	Complete Genome
Mycobacterium virus Peaches	663557		0	Other	Siphoviridae	51.376	63.9	bacteria	NC_013694.1/GQ303263.1	86	86	2009/09/10	2021/01/02	Complete Genome
California sea lion polyomavirus 1	715223		0	Other	Polyomaviridae	5.112	42.7	vertebrates	NC_013796.1/GQ331138.1	6	6	2010/02/07	2018/08/13	Complete Genome
Croton yellow vein mosaic alphasatellite	713089		0	Other	Alphasatellitidae	1.347	40	land plants	 Unknown:NC_013801.1/FN658711.1	1	1	2010/02/08	2018/08/13	Complete Genome
Cotton leaf curl Burewala betasatellite	713092		0	Other	Tolecusatellitidae	1.354	40.5	land plants	 Unknown:NC_013802.1/FN658722.1	1	1	2010/02/08	2018/08/13	Complete Genome
Cotton leaf curl Burewala alphasatellite	713091		0	Other	Alphasatellitidae	1.366	42.3	land plants	 Unknown:NC_013803.1/FN658727.1	1	1	2010/02/08	2018/08/13	Complete Genome
Pseudocowpox virus	129726		0	Other	Poxviridae	145.289	65	human,vertebrates	 Unknown:NC_013804.1/GQ329670.1	134	134	2010/02/16	2020/12/20	Complete Genome
Olive latent virus 3	626962		0	Other	Tymoviridae	7.148	56.2	-	 Unknown:NC_013920.1/FJ444852.2	4	4	2009/06/01	2018/08/13	Complete Genome
Mycobacterium virus Ardmore	685506		0	Other	Siphoviridae	52.141	61.5	bacteria	 Unknown:NC_013936.1/GU060500.1	87	87	2010/03/14	2020/12/20	Complete Genome
Phlebiopsis gigantea mycovirus dsRNA 1	349681		0	Other	Totiviridae	11.563	57	fungi	 Unknown:NC_013999.1/AM111096.3	1	2	2007/10/11	2018/08/13	Complete Genome
Klebsiella phage KP15	707757		0	Other	Myoviridae	174.436	41.8	bacteria	 Unknown:NC_014036.1/GU295964.1	257	258	2010/04/05	2020/12/20	Complete Genome
Sulfitobacter phage pCB2047-C	754043	PRJNA47511	47511	Other	Podoviridae	40.931	59	bacteria	 Unknown:NC_020856.2/HQ317384.2	73	73	2013/03/16	2020/12/20	Complete Genome
Sulfitobacter phage pCB2047-A	754045	PRJNA47513	47513	Other	Podoviridae	40.929	58.8	bacteria	 Unknown:NC_020858.2/HQ332142.2	72	72	2013/03/24	2020/12/20	Complete Genome
Sulfitobacter phage phiCB2047-B	754046	PRJNA47515	47515	Other	Podoviridae	74.485	43	bacteria	 Unknown:NC_020862.2/HQ317387.2	92	75	2013/03/17	2020/12/20	Complete Genome
Rhodobacter phage RcNL1	754047	PRJNA47517	47517	Other	Siphoviridae	62.507	65.2	bacteria	JF974309.1	91	89	2012/05/30	2012/05/30	Chromosome
Psychrobacter phage pOW20-A	754048	PRJNA47519	47519	Other	Myoviridae	40.803	44.1	bacteria	 Unknown:NC_020841.1/JF974295.1	71	71	2013/03/25	2020/12/20	Complete Genome
Loktanella phage pCB2051-A	754044	PRJNA47541	47541	Other	Siphoviridae	56.958	55	bacteria	 Unknown:NC_020853.1/HQ632859.1	77	76	2013/03/24	2020/12/20	Complete Genome
Vibrio phage pYD21-A	754049	PRJNA47543	47543	Other	Siphoviridae	46.917	43.9	bacteria	 Unknown:NC_020846.1/JF974287.1	75	74	2013/03/19	2020/12/20	Complete Genome
Aeromonas phage pIS4-A	754050	PRJNA47545	47545	Other	Siphoviridae	47.624	47.3	bacteria	NC_042037.1/JF974294.1	80	78	2013/06/10	2020/12/20	Complete Genome
Vibrio phage pYD38-A	754051	PRJNA47547	47547	Other	Siphoviridae	47.552	47.3	bacteria	 Unknown:NC_021534.1/JF974312.1	80	77	2013/06/10	2020/12/20	Complete Genome
Pseudoalteromonas phage pYD6-A	754052	PRJNA47549	47549	Other	Podoviridae	76.802	38.7	bacteria	 Unknown:NC_020849.1/JF974296.1	101	99	2013/03/25	2020/12/20	Complete Genome
Paenibacillus phage PG1	754053	PRJNA47551	47551	Other	Siphoviridae	37.644	42.4	bacteria	 Unknown:NC_021558.1/HQ332138.1	70	67	2013/06/10	2020/12/20	Complete Genome
Rhizobium phage RR1-A	929833	PRJNA47553	47553	Other	Myoviridae	53.102	57.2	bacteria	 Unknown:NC_021560.1/JF974314.1	69	68	2013/06/10	2020/12/20	Complete Genome
Rhodobacter phage RC1	754055	PRJNA47555	47555	Other	Siphoviridae	39.573	62.3	bacteria	 Unknown:NC_020839.1/JF974308.1	56	56	2013/03/25	2020/12/20	Complete Genome
Rhodovulum phage RS1	754056	PRJNA47557	47557	Other	Siphoviridae	40.231	62.1	bacteria	 Unknown:NC_020866.1/JF974307.1	57	56	2013/03/25	2020/12/20	Complete Genome
Vibrio phage VD1	754057	PRJNA47559	47559	Other	Myoviridae	81.013	44.4	bacteria	JF974301.1	118	117	2013/06/10	2013/06/10	Chromosome
Vibrio phage PWH3a-P1	754058	PRJNA47561	47561	Other	Myoviridae	129.155	35.5	bacteria	 Unknown:NC_020863.1/HQ634156.1	210	209	2013/03/24	2020/12/20	Complete Genome
Delftia phage PhiW-14	665032		0	Other	Myoviridae	157.486	56.3	bacteria	 Unknown:NC_013697.1/GQ357915.1	238	236	2009/09/09	2020/12/20	Complete Genome
Clavibacter phage CMP1	686439		0	Other	Siphoviridae	58.652	57	bacteria	 Unknown:NC_013698.1/GQ241246.1	74	74	2009/11/03	2020/12/20	Complete Genome
Pseudomonas phage LIT1	655098		0	Other	Podoviridae	72.544	55	bacteria	 Unknown:NC_013692.1/FN422399.1	90	90	2009/09/22	2020/12/20	Complete Genome
Pseudomonas phage LUZ7	655097		0	Other	Podoviridae	74.901	53.2	bacteria	 Unknown:NC_013691.1/FN422398.1	115	115	2009/09/22	2020/12/20	Complete Genome
Marseillevirus marseillevirus	694581		0	Other	Marseilleviridae	368.454	44.7	protozoa	 Unknown:NC_013756.1/GU071086.1	457	428	2010/01/09	2020/12/20	Complete Genome
Haloarcula hispanica pleomorphic virus 1	710112		0	Other	Pleolipoviridae	8.082	55.8	archaea	 Unknown:NC_013758.1/GU321093.1	8	8	2010/01/25	2020/12/20	Complete Genome
