#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Assembly Accession	Reference	FTP Path	Pubmed ID	Strain
Listeria monocytogenes EGD-e	169963	PRJNA276	276	Terrabacteria group	Firmicutes	2.94453	38	chromosome:NC_003210.1/AL591824.1	-	1	3055	2867	2001/11/08	2016/08/28	Complete Genome	European Consortium	SAMEA3138329	GCA_000196035.1	REFR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/035/GCA_000196035.1_ASM19603v1	11679669,16428782,19448609	EGD-e
Mycobacterium avium subsp. hominissuis	439334	PRJNA259922	259922	Terrabacteria group	Actinobacteria	5.27587	68.9383	chromosome:NZ_CP009360.4/CP009360.4; plasmid p18K:NZ_CP009406.2/CP009406.2; plasmid p78K:NZ_CP009405.2/CP009405.2	-	3	4957	4797	2016/11/03	2021/01/27	Complete Genome	Kobe Institute of Health	SAMN03013888	GCA_001865635.4	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/635/GCA_001865635.4_ASM186563v4	28957464	OCU464
Mycobacterium tuberculosis variant bovis	1765	PRJNA494982	494982	Terrabacteria group	Actinobacteria	4.41181	65.7	chromosome:NZ_CP039850.1/CP039850.1	-	1	4081	3859	2019/05/06	2020/08/23	Complete Genome	Academia Sinica	SAMN10219708	GCA_005156105.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/156/105/GCA_005156105.1_ASM515610v1	-	Danish 1331
Tropheryma whipplei str. Twist	203267	PRJNA95	95	Terrabacteria group	Actinobacteria	0.927303	46.3	chromosome:NC_004572.3/AE014184.1	-	1	906	839	2003/02/24	2021/01/31	Complete Genome	Genoscope	SAMN02603248	GCA_000007485.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/485/GCA_000007485.1_ASM748v1	12902375	Twist
Actinobacillus pleuropneumoniae	715	PRJNA478521	478521	Proteobacteria	Gammaproteobacteria	2.31866	41.2	chromosome:NZ_CP030753.1/CP030753.1	-	1	2214	2081	2018/07/08	2020/04/03	Complete Genome	University of Bern	SAMN09519162	GCA_003290385.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/290/385/GCA_003290385.1_ASM329038v1	30363939	S4074
Prochlorococcus marinus subsp. marinus str. CCMP1375	167539	PRJNA419	419	Terrabacteria group	Cyanobacteria/Melainabacteria group	1.75108	36.4	chromosome:NC_005042.1/AE017126.1	-	1	1894	1845	2003/07/25	2020/10/25	Complete Genome	CNRS	SAMN02603142	GCA_000007925.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/925/GCA_000007925.1_ASM792v1	12917486	CCMP1375; SS120
Haemophilus influenzae	727	PRJNA263041	263041	Proteobacteria	Gammaproteobacteria	1.8509	38.2	chromosome:NZ_CP009610.1/CP009610.1	-	1	1825	1713	2014/10/16	2020/07/31	Complete Genome	Drexel University College of Medicine	SAMN03093440	GCA_000767075.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/075/GCA_000767075.1_ASM76707v1	-	Hi375
Mycobacterium tuberculosis H37Rv	83332	PRJNA224	224	Terrabacteria group	Actinobacteria	4.41153	65.6	chromosome:NC_000962.3/AL123456.3	-	1	4008	3906	2001/09/07	2017/12/14	Complete Genome	Sanger Institute	SAMEA3138326	GCA_000195955.2	REFR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/955/GCA_000195955.2_ASM19595v2	9634230,12368430,20980199	H37Rv
Escherichia coli str. K-12 substr. MG1655	511145	PRJNA225	225	Proteobacteria	Gammaproteobacteria	4.64165	50.8	chromosome:NC_000913.3/U00096.3	-	1	4566	4242	1998/10/13	2020/09/23	Complete Genome	Univ. Wisconsin	SAMN02604091	GCA_000005845.2	REFR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/845/GCA_000005845.2_ASM584v2	9278503,16397293,16738553	K-12 substr. MG1655
Helicobacter pylori Puno135	1055529	PRJNA69919	69919	Proteobacteria	delta/epsilon subdivisions	1.64614	38.8	chromosome:NC_017379.1/CP002982.1	-	1	1564	1468	2011/08/26	2020/11/18	Complete Genome	Washington University Medical School	SAMN02604321	GCA_000224555.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/555/GCA_000224555.1_ASM22455v1	-	Puno135
Buchnera aphidicola str. Bp (Baizongia pistaciae)	224915	PRJNA256	256	Proteobacteria	Gammaproteobacteria	0.618379	25.3004	chromosome:NC_004545.1/AE016826.1; plasmid pBBp1:NC_004555.1/AF492591.1	-	2	560	520	2003/01/27	2020/11/08	Complete Genome	Valencia Univ.	SAMN02604289	GCA_000007725.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/725/GCA_000007725.1_ASM772v1	12522265	Bp (Baizongia pistaciae)
Chlamydia pneumoniae TW-183	182082	PRJNA420	420	PVC group	Chlamydiae	1.22593	40.6	chromosome:NC_005043.1/AE009440.1	-	1	1108	1053	2003/07/25	2020/04/04	Complete Genome	ALTANA Pharma	SAMN02602979	GCA_000007205.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/205/GCA_000007205.1_ASM720v1	-	TW-183
Neisseria meningitidis	487	PRJNA386981	386981	Proteobacteria	Betaproteobacteria	2.15744	51.8	chromosome:NZ_CP021520.1/CP021520.1	-	1	2150	1943	2019/09/09	2020/12/25	Complete Genome	Orebro University Hospital	SAMN07137410	GCA_008330805.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/330/805/GCA_008330805.1_ASM833080v1	-	11-7
Xylella fastidiosa Temecula1	183190	PRJNA285	285	Proteobacteria	Gammaproteobacteria	2.52115	51.8011	chromosome:NC_004556.1/AE009442.1; plasmid pXFPD1.3:NC_004554.1/AE009443.1	-	2	2234	2109	2003/01/29	2021/02/07	Complete Genome	Sao Paulo state (Brazil) Consortium	SAMN02603844	GCA_000007245.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/245/GCA_000007245.1_ASM724v1	12533478	Temecula1
Pseudomonas putida NBRC 14164	1211579	PRJDB191	171050	Proteobacteria	Gammaproteobacteria	6.1567	62.3	chromosome:NC_021505.1/AP013070.1	-	1	5539	5368	2013/06/14	2020/12/13	Complete Genome	National Institute of Technology and Evaluation	SAMD00061028	GCA_000412675.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/412/675/GCA_000412675.1_ASM41267v1	24526630	NBRC 14164
Streptococcus pyogenes	1314	PRJNA243328	243328	Terrabacteria group	Firmicutes	1.7914	38.6	chromosome:NZ_CP010450.1/CP010450.1	-	1	1777	1659	2015/08/17	2020/11/23	Complete Genome	Public Health Ontario	SAMN03274510	GCA_001267845.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/267/845/GCA_001267845.1_ASM126784v1	-	NGAS638
Streptococcus pneumoniae	1313	PRJEB6403	251923	Terrabacteria group	Firmicutes	2.02271	39.8	-	UYIP01	2	2078	1865	2018/11/23	2020/08/20	Contig	Wellcome Sanger Institute	SAMEA104200674	GCA_900618125.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/618/125/GCA_900618125.1_NCTC11032	-	NCTC11032
Agrobacterium tumefaciens	358	PRJNA659911	659911	Proteobacteria	Alphaproteobacteria	5.10966	59.5428	chromosome circular:NZ_CP061003.1/CP061003.1; chromosome linear:NZ_CP061004.1/CP061004.1	-	2	4808	4703	2020/09/07	2020/09/09	Complete Genome	Institute of Microbiology, Belarus National Academy of Sciences	SAMN15930187	GCA_014489975.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/489/975/GCA_014489975.1_ASM1448997v1	-	BIM B-1315G
Xanthomonas axonopodis pv. vasculorum	325777	PRJNA338265	338265	Proteobacteria	Gammaproteobacteria	4.69197	64.2	-	MDCD01	332	4227	3486	2018/02/23	2020/07/28	Contig	INRA	SAMN05544782	GCA_002939725.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/939/725/GCA_002939725.1_XavaCFBP5823	-	CFBP5823
Leptospira interrogans serovar Copenhageni	44275	PRJNA231221	231221	Spirochaetes	Spirochaetia	4.63076	35	chromosome:NZ_CP020414.2/CP020414.2; plasmid unnamed1:NZ_CP020413.2/CP020413.2	-	2	3742	3623	2017/03/29	2020/12/25	Complete Genome	US Food and Drug Administration 	SAMN04875540	GCA_002073495.2	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/073/495/GCA_002073495.2_ASM207349v2	-	FDAARGOS_203
Fusobacterium nucleatum subsp. polymorphum	76857	PRJEB6403	251923	Fusobacteria	Fusobacteriia	2.45506	26.9878	chromosome 1:NZ_LN831027.1/LN831027.1; plasmid 2:NZ_LN831028.1/LN831028.1	-	2	2385	2254	2015/03/22	2020/12/13	Complete Genome	Wellcome Sanger Institute	SAMEA2479572	GCA_001457555.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/457/555/GCA_001457555.1_NCTC10562	-	NCTC10562
Bacillus anthracis str. 'Ames Ancestor'	261594	PRJNA10784	10784	Terrabacteria group	Firmicutes	5.50393	35.2629	chromosome:NC_007530.2/AE017334.2; plasmid pXO1:NC_007322.2/AE017336.2; plasmid pXO2:NC_007323.3/AE017335.3	-	3	5738	5308	2004/05/19	2021/02/07	Complete Genome	J. Craig Venter Institute	SAMN02603433	GCA_000008445.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/445/GCA_000008445.1_ASM844v1	18952800	Ames Ancestor; A2084
Shigella flexneri 2a str. 301	198214	PRJNA310	310	Proteobacteria	Gammaproteobacteria	4.82882	50.6659	chromosome:NC_004337.2/AE005674.2; plasmid pCP301:NC_004851.1/AF386526.1	-	2	4788	4313	2002/10/16	2016/08/24	Complete Genome	Microbial Genome Center of ChMPH	SAMN02603599	GCA_000006925.2	REFR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/925/GCA_000006925.2_ASM692v2	12384590	301
Bifidobacterium longum	216816	PRJNA432691	432691	Terrabacteria group	Actinobacteria	2.36587	60.2	chromosome:NZ_CP026999.1/CP026999.1	-	1	2014	1885	2019/04/30	2020/07/31	Complete Genome	UFMG	SAMN08457432	GCA_004936435.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/936/435/GCA_004936435.1_ASM493643v1	-	51A
Histophilus somni	731	PRJNA281531	281531	Proteobacteria	Gammaproteobacteria	2.1835	37.4	chromosome:NZ_CP018804.1/CP018804.1	-	1	2013	1894	2017/05/31	2020/12/19	Complete Genome	USDA-ARS-USMARC	SAMN06141917	GCA_002162215.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/162/215/GCA_002162215.1_ASM216221v1	-	USDA-ARS-USMARC-63368
Pseudomonas syringae	317	PRJNA691121	691121	Proteobacteria	Gammaproteobacteria	6.01859	59.1	chromosome:NZ_CP068034.2/CP068034.2	-	1	5165	5004	2021/01/19	2021/04/28	Complete Genome	G.K. Skryabin Institute of Biochemistry and Physiology of Microorganisms, Pushchino Scientific Cente	SAMN17278557	GCA_016694755.2	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/694/755/GCA_016694755.2_ASM1669475v2	-	BIM B-268
Streptococcus agalactiae	1311	PRJEB6403	251923	Terrabacteria group	Firmicutes	2.03288	35.6	chromosome 1:NZ_LR134512.1/LR134512.1	-	1	2037	1888	2018/12/19	2020/12/25	Complete Genome	Wellcome Sanger Institute	SAMEA104210798	GCA_900638415.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/638/415/GCA_900638415.1_57635_F01	-	NCTC13949
Pseudomonas aeruginosa PAO1	208964	PRJNA331	331	Proteobacteria	Gammaproteobacteria	6.2644	66.6	chromosome:NC_002516.2/AE004091.2	-	1	5697	5572	2000/05/16	2019/01/24	Complete Genome	PathoGenesis Corporation	SAMN02603714	GCA_000006765.1	REFR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/765/GCA_000006765.1_ASM676v1	10984043,12644476,12644477	PAO1
Vibrio vulnificus	672	PRJNA231221	231221	Proteobacteria	Gammaproteobacteria	4.97482	46.7081	chromosome 1:NZ_CP044068.1/CP044068.1; chromosome 2:NZ_CP044069.1/CP044069.1	-	2	4532	4313	2019/09/25	2020/12/25	Complete Genome	US Food and Drug Administration 	SAMN11056378	GCA_008693685.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/693/685/GCA_008693685.1_ASM869368v1	-	FDAARGOS_663
Mycoplasma hyopneumoniae 168-L	1116211	PRJNA76853	76853	Terrabacteria group	Tenericutes	0.921093	28.5	chromosome:NC_021283.1/CP003131.1	-	1	732	673	2013/05/22	2021/01/17	Complete Genome	Huazhong Agricultural University	SAMN02603324	GCA_000400855.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/400/855/GCA_000400855.1_ASM40085v1	23384176	168-L
Streptococcus suis SC84	568813	PRJEA32239	32239	Terrabacteria group	Firmicutes	2.0959	41.1	chromosome:NC_012924.1/FM252031.1	-	1	2042	1930	2009/07/07	2020/12/20	Complete Genome	Sanger Institute	SAMEA2272312	GCA_000026725.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/725/GCA_000026725.1_ASM2672v1	19603075	SC84
Chlorobium phaeobacteroides DSM 266	290317	PRJNA12609	12609	FCB group	Bacteroidetes/Chlorobi group	3.1339	48.4	chromosome:NC_008639.1/CP000492.1	-	1	2826	2654	2006/12/11	2020/09/24	Complete Genome	US DOE Joint Genome Institute	SAMN02598273	GCA_000015125.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/125/GCA_000015125.1_ASM1512v1	-	DSM 266
Paenarthrobacter aurescens	43663	PRJDB3235	264375	Terrabacteria group	Actinobacteria	4.31323	62	-	BJMD01	61	4012	3887	2019/06/12	2020/06/29	Contig	National Institute of Technology and Evaluation	SAMD00097156	GCA_006538985.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/538/985/GCA_006538985.1_ASM653898v1	-	NBRC 12136
Acinetobacter baumannii	470	PRJNA317553	317553	Proteobacteria	Gammaproteobacteria	3.99043	39.1892	chromosome:NZ_CP015121.1/CP015121.1; plasmid unnamed:NZ_CP015122.1/CP015122.1	-	2	3810	3683	2017/05/02	2020/07/31	Complete Genome	USAMRIID	SAMN04621185	GCA_002116925.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/116/925/GCA_002116925.1_ASM211692v1	-	ab736
Anaplasma marginale str. Florida	320483	PRJNA16369	16369	Proteobacteria	Alphaproteobacteria	1.20243	49.8	chromosome:NC_012026.1/CP001079.1	-	1	995	907	2009/02/03	2021/02/07	Complete Genome	Washington State University	SAMN02604306	GCA_000020305.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/305/GCA_000020305.1_ASM2030v1	1280624,7693596,8063397	Florida
Bacillus licheniformis DSM 13 = ATCC 14580	279010	PRJNA12388	12388	Terrabacteria group	Firmicutes	4.2226	46.2	chromosome:NC_006270.3/CP000002.3	-	1	4328	4162	2004/09/14	2021/01/31	Complete Genome	Novozymes Biotech	SAMN02603685	GCA_000011645.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/645/GCA_000011645.1_ASM1164v1	15461803	ATCC 14580; DSM 13
Bacteroides fragilis	817	PRJEB10044	292517	FCB group	Bacteroidetes/Chlorobi group	5.18897	43.1	chromosome scaffold1:NZ_LN877293.1/LN877293.1	-	1	4194	4040	2015/08/25	2020/12/25	Complete Genome	ED	SAMEA3501569	GCA_001286525.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/286/525/GCA_001286525.1_BFBE1.1	-	BE1
Shigella dysenteriae	622	PRJNA662859	662859	Proteobacteria	Gammaproteobacteria	4.40568	51.2718	chromosome:NZ_CP061527.1/CP061527.1; plasmid pHNCMB20080_1:NZ_CP061528.1/CP061528.1; plasmid pHNCMB20080_2:NZ_CP061529.1/CP061529.1	-	3	4658	3484	2020/11/13	2020/12/25	Complete Genome	Justus-Liebig-University Giessen	SAMN16094609	GCA_015475595.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/475/595/GCA_015475595.1_ASM1547559v1	-	HNCMB 20080
Legionella pneumophila	446	PRJNA292755	292755	Proteobacteria	Gammaproteobacteria	3.40914	38.3	chromosome:NZ_CP013742.1/CP013742.1	-	1	3042	2959	2017/01/10	2020/07/31	Complete Genome	Public Health Agency of Canada	SAMN03988484	GCA_001941585.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/941/585/GCA_001941585.1_ASM194158v1	-	Philadelphia-1
Shigella sonnei	624	PRJNA389557	389557	Proteobacteria	Gammaproteobacteria	4.82283	50.7	-	NQBD01	102	4692	4448	2017/08/11	2020/06/19	Contig	JCVI	SAMN07450671	GCA_002247485.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/247/485/GCA_002247485.1_ASM224748v1	-	ECH+12
Streptococcus thermophilus JIM 8232	1051074	PRJEA68521	68521	Terrabacteria group	Firmicutes	1.9299	38.9	chromosome:NC_017581.1/FR875178.1	-	1	1985	1693	2011/07/04	2020/12/25	Complete Genome	Institut National de la Recherche Agronomique (INRA)	SAMEA2272807	GCA_000253395.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/395/GCA_000253395.1_ASM25339v1	-	JIM 8232
Wolbachia endosymbiont strain TRS of Brugia malayi	292805	PRJNA12475	12475	Proteobacteria	Alphaproteobacteria	1.08008	34.2	chromosome:NC_006833.1/AE017321.1	-	1	1011	842	2005/02/02	2021/02/07	Complete Genome	New England Biolabs, Inc.	SAMN02603678	GCA_000008385.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/385/GCA_000008385.1_ASM838v1	15780005	wBm
Synechococcus elongatus PCC 7942 = FACHB-805	1140	PRJNA10645	10645	Terrabacteria group	Cyanobacteria/Melainabacteria group	2.74227	55.456	chromosome:NC_007604.1/CP000100.1; plasmid 1:NC_007595.1/CP000101.1	-	2	2758	2696	2005/11/08	2020/12/07	Complete Genome	DOE Joint Genome Institute	SAMN02598254	GCA_000012525.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/525/GCA_000012525.1_ASM1252v1	-	PCC 7942
Shewanella baltica OS678	693973	PRJNA47019	47019	Proteobacteria	Gammaproteobacteria	5.36877	46.276	chromosome:NC_016901.1/CP002383.1; plasmid pSBAL67801:NC_016905.1/CP002384.1	-	2	4643	4432	2010/12/21	2021/01/31	Complete Genome	US DOE Joint Genome Institute (JGI-PGF)	SAMN00016780	GCA_000178875.2	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/875/GCA_000178875.2_ASM17887v2	22328742	OS678
Shewanella putrefaciens CN-32	319224	PRJNA13393	13393	Proteobacteria	Gammaproteobacteria	4.65922	44.5	chromosome:NC_009438.1/CP000681.1	-	1	4141	3944	2007/04/20	2020/04/04	Complete Genome	US DOE Joint Genome Institute	SAMN00623063	GCA_000016585.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/585/GCA_000016585.1_ASM1658v1	-	CN-32
Ehrlichia ruminantium	779	PRJNA493174	493174	Proteobacteria	Alphaproteobacteria	1.50592	27.5	chromosome:NZ_CP040111.1/CP040111.1	-	1	980	913	2020/07/22	2020/07/31	Complete Genome	ARC - Onderstepoort Veterinary Research	SAMN11584475	GCA_013460375.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/460/375/GCA_013460375.1_ASM1346037v1	-	Springbokfontein7
Limosilactobacillus reuteri	1598	PRJNA579198	579198	Terrabacteria group	Firmicutes	2.03891	38.9	chromosome:NZ_CP045605.1/CP045605.1	-	1	2076	1927	2020/11/12	2020/12/25	Complete Genome	Zhejiang Tianke High Technology Development Co.Ltd.	SAMN13106284	GCA_015377805.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/377/805/GCA_015377805.1_ASM1537780v1	-	TK-F8A
Bacillus pumilus	1408	PRJNA436554	436554	Terrabacteria group	Firmicutes	3.69776	41.6	-	PVQT01	22	3791	3677	2018/03/14	2020/09/20	Scaffold	NordReet	SAMN08634668	GCA_002998365.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/998/365/GCA_002998365.1_ASM299836v1	-	LLTC96
Thermus thermophilus HB8	300852	PRJNA13202	13202	Terrabacteria group	Deinococcus-Thermus	2.11606	69.4857	chromosome 1:NC_006461.1/AP008226.1; plasmid pTT27:NC_006462.1/AP008227.1; plasmid pTT8:NC_006463.1/AP008228.1	-	3	2263	2137	2004/11/15	2020/12/13	Complete Genome	National Institute of Advanced Industrial Science and Technology, Japan	SAMD00061070	GCA_000091545.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/545/GCA_000091545.1_ASM9154v1	-	HB8
Corynebacterium glutamicum	1718	PRJNA305676	305676	Terrabacteria group	Actinobacteria	3.26342	54	-	LOQW01	32	3014	2920	2016/12/21	2020/08/05	Contig	Shanghai Institutes for Biological Sciences (SIBS) of Chinese Academy of Sciences (CAS)	SAMN04331506	GCA_001912155.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/912/155/GCA_001912155.1_ASM191215v1	28198668	T6-13
Chlamydia trachomatis D/UW-3/CX	272561	PRJNA45	45	PVC group	Chlamydiae	1.04252	41.3	chromosome:NC_000117.1/AE001273.1	-	1	935	887	1998/05/20	2016/08/03	Complete Genome	ChGP	SAMN02603114	GCA_000008725.1	REFR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/725/GCA_000008725.1_ASM872v1	9784136	D/UW-3/CX
Mycoplasma genitalium G37	243273	PRJNA97	97	Terrabacteria group	Tenericutes	0.580076	31.7	chromosome:NC_000908.2/L43967.2	-	1	563	511	1995/10/30	2021/02/07	Complete Genome	TIGR	SAMN02603983	GCA_000027325.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/325/GCA_000027325.1_ASM2732v1	7569993,16407165	G-37
